tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI,PROVINSI
3/8/2021,64,2,71,-9,32103,30333,783,987,RIAU
3/8/2021,167,6,161,0,29154,23364,713,5077,DAERAH ISTIMEWA YOGYAKARTA
3/8/2021,89,0,41,48,17654,9594,221,7839,PAPUA
3/8/2021,12,1,14,-3,7642,7016,126,500,PAPUA BARAT
3/8/2021,142,7,390,-255,58183,50762,1370,6051,KALIMANTAN TIMUR
3/8/2021,40,3,12,25,5067,4669,150,248,BENGKULU
3/8/2021,7,0,4,3,9616,7888,387,1341,ACEH
3/8/2021,94,3,97,-6,25423,22063,859,2501,SUMATERA UTARA
3/8/2021,62,1,48,13,7717,7094,117,506,KEPULAUAN BANGKA BELITUNG
3/8/2021,8,1,75,-68,29714,28049,655,1010,SUMATERA BARAT
3/8/2021,53,2,79,-28,12960,11462,671,827,LAMPUNG
3/8/2021,1783,48,1675,60,352160,338920,5829,7411,DKI JAKARTA
3/8/2021,871,85,2346,-1560,159330,110081,6915,42334,JAWA TENGAH
3/8/2021,17,1,3,13,8804,8406,221,177,KEPULAUAN RIAU
3/8/2021,200,5,308,-113,35727,32560,976,2191,BALI
3/8/2021,0,0,0,0,4906,4359,31,516,KALIMANTAN BARAT
3/8/2021,70,4,21,45,14632,12562,339,1731,KALIMANTAN TENGAH
3/8/2021,1,0,47,-46,15135,12063,498,2574,SULAWESI UTARA
3/8/2021,6,0,9,-3,5637,4307,77,1253,JAMBI
3/8/2021,26,0,136,-110,10387,8639,264,1484,SULAWESI TENGAH
3/8/2021,0,0,4,-4,4865,4437,138,290,GORONTALO
3/8/2021,1604,67,2090,-553,225746,190671,2851,32224,JAWA BARAT
3/8/2021,325,23,410,-108,132476,117050,9199,6227,JAWA TIMUR
3/8/2021,15,1,96,-82,7133,6541,107,485,MALUKU
3/8/2021,79,3,190,-114,57605,53563,874,3168,SULAWESI SELATAN
3/8/2021,65,1,78,-14,16358,14193,761,1404,SUMATERA SELATAN
3/8/2021,591,4,185,402,30805,31632,908,-1735,BANTEN
3/8/2021,9,1,25,-17,10107,9409,201,497,SULAWESI TENGGARA
3/9/2021,11,0,5,6,8883,7150,340,1393,NUSA TENGGARA BARAT
3/9/2021,136,3,173,-40,10241,7885,288,2068,NUSA TENGGARA TIMUR
3/9/2021,126,4,131,-9,23426,20575,751,2100,KALIMANTAN SELATAN
3/9/2021,75,0,122,-47,10182,8052,154,1976,KALIMANTAN UTARA
3/9/2021,6,0,10,-4,5305,4336,109,860,SULAWESI BARAT
3/9/2021,33,0,12,21,4112,3467,114,531,MALUKU UTARA
3/9/2021,109,3,75,31,32212,30408,786,1018,RIAU
3/9/2021,176,2,190,-16,29330,23554,715,5061,DAERAH ISTIMEWA YOGYAKARTA
3/9/2021,360,1,29,330,18014,9623,222,8169,PAPUA
3/9/2021,57,0,43,14,7699,7059,126,514,PAPUA BARAT
3/9/2021,260,6,433,-179,58443,51195,1376,5872,KALIMANTAN TIMUR
3/9/2021,8,0,10,-2,5075,4679,150,246,BENGKULU
3/9/2021,26,0,26,0,9642,7914,387,1341,ACEH
3/9/2021,98,6,91,1,25521,22154,865,2502,SUMATERA UTARA
3/9/2021,49,1,57,-9,7766,7151,118,497,KEPULAUAN BANGKA BELITUNG
3/9/2021,83,2,33,48,29797,28082,657,1058,SUMATERA BARAT
3/9/2021,60,0,65,-5,13020,11527,671,822,LAMPUNG
3/9/2021,867,45,1643,-821,353027,340563,5874,6590,DKI JAKARTA
3/9/2021,900,52,1860,-1012,160230,111941,6967,41322,JAWA TENGAH
3/9/2021,3,0,22,-19,8807,8428,221,158,KEPULAUAN RIAU
3/9/2021,256,7,256,-7,35983,32816,983,2184,BALI
3/9/2021,50,0,44,6,4956,4403,31,522,KALIMANTAN BARAT
3/9/2021,133,4,81,48,14765,12643,343,1779,KALIMANTAN TENGAH
3/9/2021,10,0,43,-33,15145,12106,498,2541,SULAWESI UTARA
3/9/2021,20,1,42,-23,5657,4349,78,1230,JAMBI
3/9/2021,55,0,122,-67,10442,8761,264,1417,SULAWESI TENGAH
3/9/2021,0,0,21,-21,4865,4458,138,269,GORONTALO
3/9/2021,1763,53,1178,532,227509,191849,2904,32756,JAWA BARAT
3/9/2021,393,22,434,-63,132869,117484,9221,6164,JAWA TIMUR
3/9/2021,9,0,10,-1,7142,6551,107,484,MALUKU
3/9/2021,92,1,138,-47,57697,53701,875,3121,SULAWESI SELATAN
3/9/2021,32,2,48,-18,16390,14241,763,1386,SUMATERA SELATAN
3/9/2021,100,3,256,-159,30905,31888,911,-1894,BANTEN
3/9/2021,13,0,11,2,10120,9420,201,499,SULAWESI TENGGARA
3/10/2021,25,0,99,-74,8908,7249,340,1319,NUSA TENGGARA BARAT
3/10/2021,114,0,75,39,10355,7960,288,2107,NUSA TENGGARA TIMUR
3/10/2021,112,4,114,-6,23538,20689,755,2094,KALIMANTAN SELATAN
3/10/2021,34,1,214,-181,10216,8266,155,1795,KALIMANTAN UTARA
3/10/2021,0,0,28,-28,5305,4364,109,832,SULAWESI BARAT
3/10/2021,35,0,21,14,4147,3488,114,545,MALUKU UTARA
3/10/2021,107,2,67,38,32319,30475,788,1056,RIAU
3/10/2021,178,6,141,31,29508,23695,721,5092,DAERAH ISTIMEWA YOGYAKARTA
3/10/2021,181,1,32,148,18195,9655,223,8317,PAPUA
3/10/2021,30,0,17,13,7729,7076,126,527,PAPUA BARAT
3/10/2021,296,8,443,-155,58739,51638,1384,5717,KALIMANTAN TIMUR
3/10/2021,9,0,10,-1,5084,4689,150,245,BENGKULU
3/10/2021,0,0,4,-4,9642,7918,387,1337,ACEH
3/10/2021,90,0,86,4,25611,22240,865,2506,SUMATERA UTARA
3/10/2021,22,0,16,6,7788,7167,118,503,KEPULAUAN BANGKA BELITUNG
3/10/2021,101,1,101,-1,29898,28183,658,1057,SUMATERA BARAT
3/10/2021,58,3,160,-105,13078,11687,674,717,LAMPUNG
3/10/2021,1046,45,1477,-476,354073,342040,5919,6114,DKI JAKARTA
3/10/2021,304,32,641,-369,160534,112582,6999,40953,JAWA TENGAH
3/10/2021,14,0,20,-6,8821,8448,221,152,KEPULAUAN RIAU
3/10/2021,254,6,220,28,36237,33036,989,2212,BALI
3/10/2021,43,0,24,19,4999,4427,31,541,KALIMANTAN BARAT
3/10/2021,94,3,7,84,14859,12650,346,1863,KALIMANTAN TENGAH
3/10/2021,23,0,5,18,15168,12111,498,2559,SULAWESI UTARA
3/10/2021,18,0,48,-30,5675,4397,78,1200,JAMBI
3/10/2021,39,2,65,-28,10481,8826,266,1389,SULAWESI TENGAH
3/10/2021,14,0,2,12,4879,4460,138,281,GORONTALO
3/10/2021,1480,20,1407,53,228989,193256,2924,32809,JAWA BARAT
3/10/2021,399,20,480,-101,133268,117964,9241,6063,JAWA TIMUR
3/10/2021,3,0,28,-25,7145,6579,107,459,MALUKU
3/10/2021,220,2,137,81,57917,53838,877,3202,SULAWESI SELATAN
3/10/2021,63,7,86,-30,16453,14327,770,1356,SUMATERA SELATAN
3/10/2021,138,1,159,-22,31043,32047,912,-1916,BANTEN
3/10/2021,5,0,3,2,10125,9423,201,501,SULAWESI TENGGARA
3/11/2021,0,0,6,-6,8908,7255,340,1313,NUSA TENGGARA BARAT
3/11/2021,66,1,126,-61,10421,8086,289,2046,NUSA TENGGARA TIMUR
3/11/2021,196,2,125,69,23734,20814,757,2163,KALIMANTAN SELATAN
3/11/2021,46,2,102,-58,10262,8368,157,1737,KALIMANTAN UTARA
3/11/2021,8,0,8,0,5313,4372,109,832,SULAWESI BARAT
3/11/2021,0,1,3,-4,4147,3491,115,541,MALUKU UTARA
3/11/2021,111,1,50,60,32430,30525,789,1116,RIAU
3/11/2021,128,1,295,-168,29636,23990,722,4924,DAERAH ISTIMEWA YOGYAKARTA
3/11/2021,153,15,428,-290,18348,10083,238,8027,PAPUA
3/11/2021,37,0,18,19,7766,7094,126,546,PAPUA BARAT
3/11/2021,438,9,458,-29,59177,52096,1393,5688,KALIMANTAN TIMUR
3/11/2021,11,0,15,-4,5095,4704,150,241,BENGKULU
3/11/2021,19,0,0,19,9661,7918,387,1356,ACEH
3/11/2021,92,2,93,-3,25703,22333,867,2503,SUMATERA UTARA
3/11/2021,54,1,17,36,7842,7184,119,539,KEPULAUAN BANGKA BELITUNG
3/11/2021,87,1,104,-18,29985,28287,659,1039,SUMATERA BARAT
3/11/2021,46,5,22,19,13124,11709,679,736,LAMPUNG
3/11/2021,1754,25,980,749,355827,343020,5944,6863,DKI JAKARTA
3/11/2021,253,13,329,-89,160787,112911,7012,40864,JAWA TENGAH
3/11/2021,18,0,9,9,8839,8457,221,161,KEPULAUAN RIAU
3/11/2021,156,6,141,9,36393,33177,995,2221,BALI
3/11/2021,42,0,24,18,5041,4451,31,559,KALIMANTAN BARAT
3/11/2021,47,8,144,-105,14906,12794,354,1758,KALIMANTAN TENGAH
3/11/2021,3,0,17,-14,15171,12128,498,2545,SULAWESI UTARA
3/11/2021,9,0,13,-4,5684,4410,78,1196,JAMBI
3/11/2021,33,0,62,-29,10514,8888,266,1360,SULAWESI TENGAH
3/11/2021,0,1,3,-4,4879,4463,139,277,GORONTALO
3/11/2021,867,8,1490,-631,229856,194746,2932,32178,JAWA BARAT
3/11/2021,341,15,385,-59,133609,118349,9256,6004,JAWA TIMUR
3/11/2021,9,0,4,5,7154,6583,107,464,MALUKU
3/11/2021,108,2,212,-106,58025,54050,879,3096,SULAWESI SELATAN
3/11/2021,37,3,35,-1,16490,14362,773,1355,SUMATERA SELATAN
3/11/2021,49,1,184,-136,31092,32231,913,-2052,BANTEN
3/11/2021,14,0,21,-7,10139,9444,201,494,SULAWESI TENGGARA
3/12/2021,1,1,0,0,8909,7255,341,1313,NUSA TENGGARA BARAT
3/12/2021,128,1,29,98,10549,8115,290,2144,NUSA TENGGARA TIMUR
3/12/2021,199,3,72,124,23933,20886,760,2287,KALIMANTAN SELATAN
3/12/2021,137,0,357,-220,10399,8725,157,1517,KALIMANTAN UTARA
3/12/2021,4,0,71,-67,5317,4443,109,765,SULAWESI BARAT
3/12/2021,1,0,0,1,4148,3491,115,542,MALUKU UTARA
3/12/2021,58,4,50,4,32488,30575,793,1120,RIAU
3/12/2021,203,0,170,33,29839,24160,722,4957,DAERAH ISTIMEWA YOGYAKARTA
3/12/2021,55,0,30,25,18403,10113,238,8052,PAPUA
3/12/2021,28,0,41,-13,7794,7135,126,533,PAPUA BARAT
3/12/2021,207,9,356,-158,59384,52452,1402,5530,KALIMANTAN TIMUR
3/12/2021,27,0,13,14,5122,4717,150,255,BENGKULU
3/12/2021,6,1,7,-2,9667,7925,388,1354,ACEH
3/12/2021,83,4,79,0,25786,22412,871,2503,SUMATERA UTARA
3/12/2021,63,4,60,-1,7905,7244,123,538,KEPULAUAN BANGKA BELITUNG
3/12/2021,57,4,48,5,30042,28335,663,1044,SUMATERA BARAT
3/12/2021,42,8,99,-65,13166,11808,687,671,LAMPUNG
3/12/2021,1872,50,1263,559,357699,344283,5994,7422,DKI JAKARTA
3/12/2021,497,32,755,-290,161284,113666,7044,40574,JAWA TENGAH
3/12/2021,3,0,13,-10,8842,8470,221,151,KEPULAUAN RIAU
3/12/2021,197,12,216,-31,36590,33393,1007,2190,BALI
3/12/2021,23,0,32,-9,5064,4483,31,550,KALIMANTAN BARAT
3/12/2021,62,4,175,-117,14968,12969,358,1641,KALIMANTAN TENGAH
3/12/2021,2,0,19,-17,15173,12147,498,2528,SULAWESI UTARA
3/12/2021,29,0,2,27,5713,4412,78,1223,JAMBI
3/12/2021,47,1,31,15,10561,8919,267,1375,SULAWESI TENGAH
3/12/2021,23,0,27,-4,4902,4490,139,273,GORONTALO
3/12/2021,1224,47,1774,-597,231080,196520,2979,31581,JAWA BARAT
3/12/2021,339,15,417,-93,133948,118766,9271,5911,JAWA TIMUR
3/12/2021,10,0,7,3,7164,6590,107,467,MALUKU
3/12/2021,133,5,163,-35,58158,54213,884,3061,SULAWESI SELATAN
3/12/2021,33,4,31,-2,16523,14393,777,1353,SUMATERA SELATAN
3/12/2021,484,6,83,395,31576,32314,919,-1657,BANTEN
3/12/2021,0,0,4,-4,10139,9448,201,490,SULAWESI TENGGARA
3/13/2021,20,0,12,8,8929,7267,341,1321,NUSA TENGGARA BARAT
3/13/2021,141,6,9,126,10690,8124,296,2270,NUSA TENGGARA TIMUR
3/13/2021,197,3,146,48,24130,21032,763,2335,KALIMANTAN SELATAN
3/13/2021,2,0,43,-41,10401,8768,157,1476,KALIMANTAN UTARA
3/13/2021,9,1,91,-83,5326,4534,110,682,SULAWESI BARAT
3/13/2021,12,0,0,12,4160,3491,115,554,MALUKU UTARA
3/13/2021,66,3,107,-44,32554,30682,796,1076,RIAU
3/13/2021,188,3,259,-74,30027,24419,725,4883,DAERAH ISTIMEWA YOGYAKARTA
3/13/2021,47,2,37,8,18450,10150,240,8060,PAPUA
3/13/2021,45,0,20,25,7839,7155,126,558,PAPUA BARAT
3/13/2021,264,2,240,22,59648,52692,1404,5552,KALIMANTAN TIMUR
3/13/2021,3,0,10,-7,5125,4727,150,248,BENGKULU
3/13/2021,14,0,0,14,9681,7925,388,1368,ACEH
3/13/2021,91,2,86,3,25877,22498,873,2506,SUMATERA UTARA
3/13/2021,68,1,41,26,7973,7285,124,564,KEPULAUAN BANGKA BELITUNG
3/13/2021,68,2,50,16,30110,28385,665,1060,SUMATERA BARAT
3/13/2021,43,2,41,0,13209,11849,689,671,LAMPUNG
3/13/2021,1034,10,577,447,358733,344860,6004,7869,DKI JAKARTA
3/13/2021,156,11,262,-117,161440,113928,7055,40457,JAWA TENGAH
3/13/2021,4,1,5,-2,8846,8475,222,149,KEPULAUAN RIAU
3/13/2021,158,4,145,9,36748,33538,1011,2199,BALI
3/13/2021,84,0,26,58,5148,4509,31,608,KALIMANTAN BARAT
3/13/2021,97,3,13,81,15065,12982,361,1722,KALIMANTAN TENGAH
3/13/2021,24,0,14,10,15197,12161,498,2538,SULAWESI UTARA
3/13/2021,21,1,45,-25,5734,4457,79,1198,JAMBI
3/13/2021,12,0,26,-14,10573,8945,267,1361,SULAWESI TENGAH
3/13/2021,51,1,23,27,4953,4513,140,300,GORONTALO
3/13/2021,1026,5,1046,-25,232106,197566,2984,31556,JAWA BARAT
3/13/2021,348,18,363,-33,134296,119129,9289,5878,JAWA TIMUR
3/13/2021,0,0,0,0,7164,6590,107,467,MALUKU
3/13/2021,89,3,136,-50,58247,54349,887,3011,SULAWESI SELATAN
3/13/2021,43,3,41,-1,16566,14434,780,1352,SUMATERA SELATAN
3/13/2021,248,0,85,163,31824,32399,919,-1494,BANTEN
3/13/2021,2,1,0,1,10141,9448,202,491,SULAWESI TENGGARA
3/14/2021,69,0,0,69,8998,7267,341,1390,NUSA TENGGARA BARAT
3/14/2021,23,1,232,-210,10713,8356,297,2060,NUSA TENGGARA TIMUR
3/14/2021,204,5,279,-80,24334,21311,768,2255,KALIMANTAN SELATAN
3/14/2021,32,1,5,26,10433,8773,158,1502,KALIMANTAN UTARA
3/14/2021,3,0,43,-40,5329,4577,110,642,SULAWESI BARAT
3/14/2021,13,0,9,4,4173,3500,115,558,MALUKU UTARA
3/14/2021,169,4,111,54,32723,30793,800,1130,RIAU
3/14/2021,90,4,266,-180,30117,24685,729,4703,DAERAH ISTIMEWA YOGYAKARTA
3/14/2021,32,0,37,-5,18482,10187,240,8055,PAPUA
3/14/2021,37,0,27,10,7876,7182,126,568,PAPUA BARAT
3/14/2021,207,6,354,-153,59855,53046,1410,5399,KALIMANTAN TIMUR
3/14/2021,20,0,13,7,5145,4740,150,255,BENGKULU
3/14/2021,5,0,28,-23,9686,7953,388,1345,ACEH
3/14/2021,88,3,90,-5,25965,22588,876,2501,SUMATERA UTARA
3/14/2021,86,0,33,53,8059,7318,124,617,KEPULAUAN BANGKA BELITUNG
3/14/2021,93,3,145,-55,30203,28530,668,1005,SUMATERA BARAT
3/14/2021,48,2,30,16,13257,11879,691,687,LAMPUNG
3/14/2021,1204,36,2367,-1199,359937,347227,6040,6670,DKI JAKARTA
3/14/2021,144,3,106,35,161584,114034,7058,40492,JAWA TENGAH
3/14/2021,27,0,8,19,8873,8483,222,168,KEPULAUAN RIAU
3/14/2021,0,3,21,-24,36748,33559,1014,2175,BALI
3/14/2021,97,0,49,48,5245,4558,31,656,KALIMANTAN BARAT
3/14/2021,125,5,0,120,15190,12982,366,1842,KALIMANTAN TENGAH
3/14/2021,14,0,14,0,15211,12175,498,2538,SULAWESI UTARA
3/14/2021,0,0,23,-23,5734,4480,79,1175,JAMBI
3/14/2021,40,0,29,11,10613,8974,267,1372,SULAWESI TENGAH
3/14/2021,7,0,3,4,4960,4516,140,304,GORONTALO
3/14/2021,1189,9,935,245,233295,198501,2993,31801,JAWA BARAT
3/14/2021,278,14,213,51,134574,119342,9303,5929,JAWA TIMUR
3/14/2021,22,1,5,16,7186,6595,108,483,MALUKU
3/14/2021,67,0,160,-93,58314,54509,887,2918,SULAWESI SELATAN
3/14/2021,20,1,34,-15,16586,14468,781,1337,SUMATERA SELATAN
3/14/2021,315,2,67,246,32139,32466,921,-1248,BANTEN
3/14/2021,3,0,0,3,10144,9448,202,494,SULAWESI TENGGARA
3/15/2021,42,1,10,31,9040,7277,342,1421,NUSA TENGGARA BARAT
3/15/2021,83,0,9,74,10796,8365,297,2134,NUSA TENGGARA TIMUR
3/15/2021,175,4,142,29,24509,21453,772,2284,KALIMANTAN SELATAN
3/15/2021,45,0,35,10,10478,8808,158,1512,KALIMANTAN UTARA
3/15/2021,3,0,7,-4,5332,4584,110,638,SULAWESI BARAT
3/15/2021,20,2,18,0,4193,3518,117,558,MALUKU UTARA
3/15/2021,69,1,98,-30,32792,30891,801,1100,RIAU
3/15/2021,140,3,151,-14,30257,24836,732,4689,DAERAH ISTIMEWA YOGYAKARTA
3/15/2021,45,0,30,15,18527,10217,240,8070,PAPUA
3/15/2021,8,0,29,-21,7884,7211,126,547,PAPUA BARAT
3/15/2021,204,4,473,-273,60059,53519,1414,5126,KALIMANTAN TIMUR
3/15/2021,9,0,20,-11,5154,4760,150,244,BENGKULU
3/15/2021,0,0,6,-6,9686,7959,388,1339,ACEH
3/15/2021,102,5,92,5,26067,22680,881,2506,SUMATERA UTARA
3/15/2021,49,2,30,17,8108,7348,126,634,KEPULAUAN BANGKA BELITUNG
3/15/2021,22,0,33,-11,30225,28563,668,994,SUMATERA BARAT
3/15/2021,47,6,37,4,13304,11916,697,691,LAMPUNG
3/15/2021,1555,35,1762,-242,361492,348989,6075,6428,DKI JAKARTA
3/15/2021,657,20,561,76,162241,114595,7078,40568,JAWA TENGAH
3/15/2021,4,1,3,0,8877,8486,223,168,KEPULAUAN RIAU
3/15/2021,100,5,230,-135,36848,33789,1019,2040,BALI
3/15/2021,0,0,0,0,5245,4558,31,656,KALIMANTAN BARAT
3/15/2021,125,2,64,59,15315,13046,368,1901,KALIMANTAN TENGAH
3/15/2021,4,0,45,-41,15215,12220,498,2497,SULAWESI UTARA
3/15/2021,5,0,32,-27,5739,4512,79,1148,JAMBI
3/15/2021,30,2,54,-26,10643,9028,269,1346,SULAWESI TENGAH
3/15/2021,3,0,6,-3,4963,4522,140,301,GORONTALO
3/15/2021,1084,23,1694,-633,234379,200195,3016,31168,JAWA BARAT
3/15/2021,257,20,292,-55,134831,119634,9323,5874,JAWA TIMUR
3/15/2021,4,1,5,-2,7190,6600,109,481,MALUKU
3/15/2021,54,3,120,-69,58368,54629,890,2849,SULAWESI SELATAN
3/15/2021,57,0,40,17,16643,14508,781,1354,SUMATERA SELATAN
3/15/2021,290,2,125,163,32429,32591,923,-1085,BANTEN
3/15/2021,3,0,1,2,10147,9449,202,496,SULAWESI TENGGARA
3/16/2021,1,0,0,1,9041,7277,342,1422,NUSA TENGGARA BARAT
3/16/2021,193,0,193,0,10989,8558,297,2134,NUSA TENGGARA TIMUR
3/16/2021,191,2,266,-77,24700,21719,774,2207,KALIMANTAN SELATAN
3/16/2021,37,3,40,-6,10515,8848,161,1506,KALIMANTAN UTARA
3/16/2021,2,0,75,-73,5334,4659,110,565,SULAWESI BARAT
3/16/2021,27,1,13,13,4220,3531,118,571,MALUKU UTARA
3/16/2021,117,3,52,62,32909,30943,804,1162,RIAU
3/16/2021,170,6,211,-47,30427,25047,738,4642,DAERAH ISTIMEWA YOGYAKARTA
3/16/2021,70,0,21,49,18597,10238,240,8119,PAPUA
3/16/2021,27,1,23,3,7911,7234,127,550,PAPUA BARAT
3/16/2021,246,9,218,19,60305,53737,1423,5145,KALIMANTAN TIMUR
3/16/2021,15,0,15,0,5169,4775,150,244,BENGKULU
3/16/2021,10,0,21,-11,9696,7980,388,1328,ACEH
3/16/2021,79,2,85,-8,26146,22765,883,2498,SUMATERA UTARA
3/16/2021,91,1,52,38,8199,7400,127,672,KEPULAUAN BANGKA BELITUNG
3/16/2021,55,0,64,-9,30280,28627,668,985,SUMATERA BARAT
3/16/2021,43,4,47,-8,13347,11963,701,683,LAMPUNG
3/16/2021,835,20,1491,-676,362327,350480,6095,5752,DKI JAKARTA
3/16/2021,563,41,1389,-867,162804,115984,7119,39701,JAWA TENGAH
3/16/2021,2,0,22,-20,8879,8508,223,148,KEPULAUAN RIAU
3/16/2021,77,7,210,-140,36925,33999,1026,1900,BALI
3/16/2021,82,0,34,48,5327,4592,31,704,KALIMANTAN BARAT
3/16/2021,83,1,22,60,15398,13068,369,1961,KALIMANTAN TENGAH
3/16/2021,0,0,9,-9,15215,12229,498,2488,SULAWESI UTARA
3/16/2021,36,0,54,-18,5775,4566,79,1130,JAMBI
3/16/2021,24,2,43,-21,10667,9071,271,1325,SULAWESI TENGAH
3/16/2021,3,1,5,-3,4966,4527,141,298,GORONTALO
3/16/2021,1597,21,2289,-713,235976,202484,3037,30455,JAWA BARAT
3/16/2021,290,24,249,17,135121,119883,9347,5891,JAWA TIMUR
3/16/2021,6,1,2,3,7196,6602,110,484,MALUKU
3/16/2021,117,1,179,-63,58485,54808,891,2786,SULAWESI SELATAN
3/16/2021,55,4,28,23,16698,14536,785,1377,SUMATERA SELATAN
3/16/2021,247,2,132,113,32676,32723,925,-972,BANTEN
3/16/2021,7,1,14,-8,10154,9463,203,488,SULAWESI TENGGARA
3/17/2021,34,0,1,33,9075,7278,342,1455,NUSA TENGGARA BARAT
3/17/2021,220,7,105,108,11209,8663,304,2242,NUSA TENGGARA TIMUR
3/17/2021,158,5,130,23,24858,21849,779,2230,KALIMANTAN SELATAN
3/17/2021,69,1,53,15,10584,8901,162,1521,KALIMANTAN UTARA
3/17/2021,3,0,23,-20,5337,4682,110,545,SULAWESI BARAT
3/17/2021,9,0,4,5,4229,3535,118,576,MALUKU UTARA
3/17/2021,82,1,121,-40,32991,31064,805,1122,RIAU
3/17/2021,270,1,74,195,30697,25121,739,4837,DAERAH ISTIMEWA YOGYAKARTA
3/17/2021,65,0,2,63,18662,10240,240,8182,PAPUA
3/17/2021,43,1,22,20,7954,7256,128,570,PAPUA BARAT
3/17/2021,241,2,337,-98,60546,54074,1425,5047,KALIMANTAN TIMUR
3/17/2021,35,0,25,10,5204,4800,150,254,BENGKULU
3/17/2021,6,0,3,3,9702,7983,388,1331,ACEH
3/17/2021,88,5,92,-9,26234,22857,888,2489,SUMATERA UTARA
3/17/2021,50,0,32,18,8249,7432,127,690,KEPULAUAN BANGKA BELITUNG
3/17/2021,135,4,66,65,30415,28693,672,1050,SUMATERA BARAT
3/17/2021,41,2,65,-26,13388,12028,703,657,LAMPUNG
3/17/2021,1330,3,1183,144,363657,351663,6098,5896,DKI JAKARTA
3/17/2021,598,43,732,-177,163402,116716,7162,39524,JAWA TENGAH
3/17/2021,37,1,4,32,8916,8512,224,180,KEPULAUAN RIAU
3/17/2021,227,9,291,-73,37152,34290,1035,1827,BALI
3/17/2021,79,0,31,48,5406,4623,31,752,KALIMANTAN BARAT
3/17/2021,153,1,60,92,15551,13128,370,2053,KALIMANTAN TENGAH
3/17/2021,9,1,12,-4,15224,12241,499,2484,SULAWESI UTARA
3/17/2021,25,0,10,15,5800,4576,79,1145,JAMBI
3/17/2021,25,1,25,-1,10692,9096,272,1324,SULAWESI TENGAH
3/17/2021,16,0,11,5,4982,4538,141,303,GORONTALO
3/17/2021,1436,12,2052,-628,237412,204536,3049,29827,JAWA BARAT
3/17/2021,321,86,1008,-773,135442,120891,9433,5118,JAWA TIMUR
3/17/2021,4,0,20,-16,7200,6622,110,468,MALUKU
3/17/2021,139,2,195,-58,58624,55003,893,2728,SULAWESI SELATAN
3/17/2021,45,7,57,-19,16743,14593,792,1358,SUMATERA SELATAN
3/17/2021,861,3,249,609,33537,32972,928,-363,BANTEN
3/17/2021,12,0,57,-45,10166,9520,203,443,SULAWESI TENGGARA
3/18/2021,67,0,28,39,9142,7306,342,1494,NUSA TENGGARA BARAT
3/18/2021,167,0,210,-43,11376,8873,304,2199,NUSA TENGGARA TIMUR
3/18/2021,118,4,134,-20,24976,21983,783,2210,KALIMANTAN SELATAN
3/18/2021,29,1,29,-1,10613,8930,163,1520,KALIMANTAN UTARA
3/18/2021,1,0,17,-16,5338,4699,110,529,SULAWESI BARAT
3/18/2021,9,0,8,1,4238,3543,118,577,MALUKU UTARA
3/18/2021,108,1,56,51,33099,31120,806,1173,RIAU
3/18/2021,257,6,125,126,30954,25246,745,4963,DAERAH ISTIMEWA YOGYAKARTA
3/18/2021,126,0,30,96,18788,10270,240,8278,PAPUA
3/18/2021,37,1,40,-4,7991,7296,129,566,PAPUA BARAT
3/18/2021,329,11,384,-66,60875,54458,1436,4981,KALIMANTAN TIMUR
3/18/2021,8,1,21,-14,5212,4821,151,240,BENGKULU
3/18/2021,10,0,3,7,9712,7986,388,1338,ACEH
3/18/2021,87,1,85,1,26321,22942,889,2490,SUMATERA UTARA
3/18/2021,59,4,63,-8,8308,7495,131,682,KEPULAUAN BANGKA BELITUNG
3/18/2021,105,0,91,14,30520,28784,672,1064,SUMATERA BARAT
3/18/2021,37,8,61,-32,13425,12089,711,625,LAMPUNG
3/18/2021,1719,20,1168,531,365376,352831,6118,6427,DKI JAKARTA
3/18/2021,659,67,948,-356,164061,117664,7229,39168,JAWA TENGAH
3/18/2021,8,1,18,-11,8924,8530,225,169,KEPULAUAN RIAU
3/18/2021,306,8,226,72,37458,34516,1043,1899,BALI
3/18/2021,51,0,46,5,5457,4669,31,757,KALIMANTAN BARAT
3/18/2021,76,3,118,-45,15627,13246,373,2008,KALIMANTAN TENGAH
3/18/2021,10,0,35,-25,15234,12276,499,2459,SULAWESI UTARA
3/18/2021,35,2,85,-52,5835,4661,81,1093,JAMBI
3/18/2021,24,1,52,-29,10716,9148,273,1295,SULAWESI TENGAH
3/18/2021,34,0,155,-121,5016,4693,141,182,GORONTALO
3/18/2021,1407,8,1402,-3,238819,205938,3057,29824,JAWA BARAT
3/18/2021,338,38,821,-521,135780,121712,9471,4597,JAWA TIMUR
3/18/2021,14,0,0,14,7214,6622,110,482,MALUKU
3/18/2021,146,5,225,-84,58770,55228,898,2644,SULAWESI SELATAN
3/18/2021,39,2,37,0,16782,14630,794,1358,SUMATERA SELATAN
3/18/2021,293,4,80,209,33830,33052,932,-154,BANTEN
3/18/2021,5,0,0,5,10171,9520,203,448,SULAWESI TENGGARA
3/19/2021,28,0,16,12,9170,7322,342,1506,NUSA TENGGARA BARAT
3/19/2021,96,0,0,96,11472,8873,304,2295,NUSA TENGGARA TIMUR
3/19/2021,197,4,157,36,25173,22140,787,2246,KALIMANTAN SELATAN
3/19/2021,45,1,41,3,10658,8971,164,1523,KALIMANTAN UTARA
